uid,title,slug,simple-date,filename,date,worktype,categories,image-url,item-url,episode-title,episode-url
item198,Starting Strength,starting-strength,2016-03-01,2016-03-01-starting-strength,2016-03-01 01:01:01,"""Development""",book,"51MfaFsIdpL._SX218_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FStarting-Strength-3rd-Mark-Rippetoe%2Fdp%2F0982522738%2F,Pavel Tsatsouline on the Science of Strength and the Art of Physical Performance,http://fourhourworkweek.com/2015/01/15/pavel-tsatsouline/
item199,Stepbrothers,stepbrothers,2016-02-29,2016-02-29-stepbrothers,2016-02-29 01:01:01,"""Development""",movie,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FStep-Brothers-Single-Disc-Unrated-Edition%2Fdp%2FB001G5T6GW%2F,"The Random Show, Episode 25 — Gut Bacteria, Meditation, Startups, and More",http://fourhourworkweek.com/2014/08/22/the-random-show-episode-25-gut-bacteria-meditation-startups-and-more/
item201,Stone Soup,stone-soup,2016-02-28,2016-02-28-stone-soup,2016-02-28 01:01:01,"""Development""",book,"61OcUPuZYGL._SX218_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FStone-Soup-Ann-Mcgovern%2Fdp%2F0590416022,How to Think Like Elon Musk and Jeff Bezos,http://fourhourworkweek.com/2015/01/20/elon-musk-and-jeff-bezos/
item12,Stories and books by Amy Hempel,stories-and-books-by-amy-hempel,2016-02-27,2016-02-27-stories-and-books-by-amy-hempel,2016-02-27 01:01:01,"""Development""",,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FAmy-Hempel%2Fe%2FB000AP7GRU%2F,"The Tim Ferriss Show, Episode 18: James Altucher on How to Say “No”, Fail Better, and Build Businesses",http://fourhourworkweek.com/2014/07/11/james-altucher/
item48,Stories and books by Denis Johnson,stories-and-books-by-denis-johnson,2016-02-26,2016-02-26-stories-and-books-by-denis-johnson,2016-02-26 01:01:01,"""Development""",collection,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FDenis-Johnson%2Fe%2FB000AQ3FL0%2F,"The Tim Ferriss Show, Episode 18: James Altucher on How to Say “No”, Fail Better, and Build Businesses",http://fourhourworkweek.com/2014/07/11/james-altucher/
item165,Stories and books by Raymond Carver,stories-and-books-by-raymond-carver,2016-02-25,2016-02-25-stories-and-books-by-raymond-carver,2016-02-25 01:01:01,"""Development""",object,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FRaymond-Carver%2Fe%2FB000APVCS4%2F,"The Tim Ferriss Show, Episode 18: James Altucher on How to Say “No”, Fail Better, and Build Businesses",http://fourhourworkweek.com/2014/07/11/james-altucher/
item202,Story,story,2016-02-24,2016-02-24-story,2016-02-24 01:01:01,"""Development""",book,51c1Pf0fe7L._SY445_QL70_.jpg,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FStory-Structure-Substance-Principles-Screenwriting-ebook%2Fdp%2FB0042FZVOY%2F,"Rolf Potts on Travel Tactics, Creating Time Wealth, and Lateral Thinking",http://fourhourworkweek.com/2014/11/04/rolf-potts/
item203,Stumbling on Happiness,stumbling-on-happiness,2016-02-23,2016-02-23-stumbling-on-happiness,2016-02-23 01:01:01,"""Development""",book,"416ie48vq-L._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FStumbling-Happiness-Daniel-Gilbert%2Fdp%2F1400077427%2F,"Maria Popova on Being Interesting, Creating More Time in a Day, And How to Start A Successful Blog",http://fourhourworkweek.com/2015/07/24/maria-popova-starting-a-successful-blog/
item204,Super Intelligence,super-intelligence,2016-02-22,2016-02-22-super-intelligence,2016-02-22 01:01:01,"""Development""",book,"51Wpe9pjT2L._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSuperintelligence-Dangers-Strategies-Nick-Bostrom%2Fdp%2F1501227742%2F,"Sam Harris on Daily Routines, The Trolley Scenario, and 5 Books Everyone Should Read",http://fourhourworkweek.com/2015/07/08/sam-harris-on-daily-routines-the-trolley-scenario-and-5-books-everyone-should-read/
item205,Surely You’re Joking Mr. Feynman!,surely-youre-joking-mr-feynman,2016-02-21,2016-02-21-surely-youre-joking-mr-feynman,2016-02-21 01:01:01,"""Development""",book,"519fWd56vTL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FSurely-Feynman-Adventures-Curious-Character%2Fdp%2F0393316041%2F,"How One Computer Hacker Conquered Online Dating, Opens Locked Cars, and More",http://fourhourworkweek.com/2015/05/02/samy-kamkar/
item16,swimming goggles,swimming-goggles,2016-02-20,2016-02-20-swimming-goggles,2016-02-20 01:01:01,"""Development""",fitness,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FAqua-Sphere-Kaiman-Swimming-Goggles%2Fdp%2FB00HQL9AEI%2F,Brené Brown on Vulnerability and Home Run TED Talks,http://fourhourworkweek.com/2015/08/28/brene-brown-on-vulnerability-and-home-run-ted-talks/
item206,Tao Te Ching,tao-te-ching,2016-02-19,2016-02-19-tao-te-ching,2016-02-19 01:01:01,"""Development""",book,"518%2BricfPoL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FTao-Te-Ching-Laozi%2Fdp%2F0060812451%2F,"Rick Rubin on Cultivating World-Class Artists (Jay Z, Johnny Cash, etc.), Losing 100+ Pounds, and Breaking Down The Complex",http://fourhourworkweek.com/2015/05/15/rick-rubin/
item51,Tascam DR-100KII Recorder,tascam-dr-100kii-recorder,2016-02-18,2016-02-18-tascam-dr-100kii-recorder,2016-02-18 01:01:01,"""Development""",object,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FDR-100mkII-2-Channel-Portable-Digital-Recorder%2Fdp%2FB006JVNTXO%2F,How to Create a Blockbuster Podcast,http://fourhourworkweek.com/2015/01/29/alex-blumberg/
item56,Tetris,tetris,2016-02-17,2016-02-17-tetris,2016-02-17 01:01:01,"""Development""",object,,http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FElectronic-Arts-Inc-Tetris%25C2%25AE%2Fdp%2FB00CO6TOBY%2F,5 Tools I Use For Faster And Better Sleep,http://fourhourworkweek.com/2015/10/17/5-tools-i-use-for-faster-and-better-sleep/
item255,The 22 Immutable Laws of Marketing:  Violate Them at Your Own Risk!,the-22-immutable-laws-of-marketing-violate-them-at-your-own-risk,2016-02-16,2016-02-16-the-22-immutable-laws-of-marketing-violate-them-at-your-own-risk,2016-02-16 01:01:01,"""Development""",book,"51b7BzdnqLL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2F22-Immutable-Laws-Marketing-Violate%2Fdp%2F0887306667,Drunk Dialing Fans–Celebrating The 100th Podcast Episode! - http://fourhourworkweek.com/2015/09/11/drunk-dialing/,http://fourhourworkweek.com/2015/09/11/drunk-dialing/
item256,The Adventures of Johnny Bunko: The Last Career Guide You'll Ever Need,the-adventures-of-johnny-bunko-the-last-career-guide-youll-ever-need,2016-02-15,2016-02-15-the-adventures-of-johnny-bunko-the-last-career-guide-youll-ever-need,2016-02-15 01:01:01,"""Development""",book,"51TKs54sr3L._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FAdventures-Johnny-Bunko-Career-Guide%2Fdp%2F1594482918,"Nick Ganju on The Majesty of Ping Pong, Poker, and How to Write Hit Songs - http://fourhourworkweek.com/2014/11/21/nick-ganju/",http://fourhourworkweek.com/2014/11/21/nick-ganju/
item257,The Alchemist,the-alchemist,2016-02-14,2016-02-14-the-alchemist,2016-02-14 01:01:01,"""Development""",book,"41ybG235TcL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FAlchemist-Paulo-Coelho%2Fdp%2F0061122416,Brené Brown on Vulnerability and Home Run TED Talks - http://fourhourworkweek.com/2015/08/28/brene-brown-on-vulnerability-and-home-run-ted-talks/,http://fourhourworkweek.com/2015/08/28/brene-brown-on-vulnerability-and-home-run-ted-talks/
item13,The Anatomy of Disgust,the-anatomy-of-disgust,2016-02-13,2016-02-13-the-anatomy-of-disgust,2016-02-13 01:01:01,"""Development""",book,"41eVQffQ6aL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FAnatomy-Disgust-William-Ian-Miller%2Fdp%2F0674031555%2F,"Sam Harris on Daily Routines, The Trolley Scenario, and 5 Books Everyone Should Read",http://fourhourworkweek.com/2015/07/08/sam-harris-on-daily-routines-the-trolley-scenario-and-5-books-everyone-should-read/
item17,The Art of Robert E. McGinnis,the-art-of-robert-e-mcginnis,2016-02-12,2016-02-12-the-art-of-robert-e-mcginnis,2016-02-12 01:01:01,"""Development""",book,"51%2BiBv%2BE9GL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FArt-Robert-E-McGinnis%2Fdp%2F1781162174%2F,"The Random Show: Hating Tech, Hidden Japanese Gems, Sexual Awkwardness, and More",http://fourhourworkweek.com/2014/11/25/the-random-show-hating-tech-hidden-japanese-gems-sexual-awkwardness-and-more/
item258,"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",the-art-of-the-start-the-time-tested-battle-hardened-guide-for-anyone-starting-anything,2016-02-11,2016-02-11-the-art-of-the-start-the-time-tested-battle-hardened-guide-for-anyone-starting-anything,2016-02-11 01:01:01,"""Development""",book,"518jgmy-g4L._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FArt-Start-Time-Tested-Battle-Hardened-Starting%2Fdp%2F1591840562,"Matt Mullenweg on Polyphasic Sleep, Tequila, and Building Billion-Dollar Companies - http://fourhourworkweek.com/2015/02/09/matt-mullenweg/",http://fourhourworkweek.com/2015/02/09/matt-mullenweg/
item259,The Artist's Way Morning Pages Journal,the-artists-way-morning-pages-journal,2016-02-10,2016-02-10-the-artists-way-morning-pages-journal,2016-02-10 01:01:01,"""Development""",book,"51ldMO5CbYL._SX218_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FArtists-Way-Morning-Pages-Journal%2Fdp%2F0874778867,"The Tim Ferriss Show, Episode 10: Brian Koppelman, Co-writer/Producer of Rounders, The Illusionist, Ocean’s Thirteen - http://fourhourworkweek.com/2014/06/04/brian-koppelman-screenwriter/",http://fourhourworkweek.com/2014/06/04/brian-koppelman-screenwriter/
item260,The Bed of Procrustes: Philosophical and Practical Aphorisms (Incerto),the-bed-of-procrustes-philosophical-and-practical-aphorisms-incerto,2016-02-09,2016-02-09-the-bed-of-procrustes-philosophical-and-practical-aphorisms-incerto,2016-02-09 01:01:01,"""Development""",book,"41xbo16fpSL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FBed-Procrustes-Philosophical-Practical-Aphorisms%2Fdp%2F1400069971,Unknown,#N/A
item28,The Black Swan: Second Edition: The Impact of the Highly Improbable: With a new section: “On Robustness and Fragility”,the-black-swan-second-edition-the-impact-of-the-highly-improbable-with-a-new-section-on-robustness-and-fragility,2016-02-08,2016-02-08-the-black-swan-second-edition-the-impact-of-the-highly-improbable-with-a-new-section-on-robustness-and-fragility,2016-02-08 01:01:01,"""Development""",book,"412CR0GjfKL._SY291_BO1,204,203,200_QL40_.jpg",http://target.georiot.com/Proxy.ashx?tsid=14707&GR_URL=http%3A%2F%2Fwww.amazon.com%2FBlack-Swan-Improbable-Robustness-Fragility%2Fdp%2F081297381X%2F,The 5 Things I Did To Become a Better Investor,http://fourhourworkweek.com/2015/10/02/the-5-things-i-did-to-become-a-better-investor/
